20170601 041200;1.123500;1.123650;1.123470;1.123480;0
20170601 041300;1.123500;1.123590;1.123460;1.123460;0
20170601 041400;1.123450;1.123680;1.123410;1.123540;0
20170601 041500;1.123520;1.123580;1.123520;1.123570;0
20170601 041600;1.123550;1.123670;1.123480;1.123570;0
20170601 041700;1.123580;1.123770;1.123580;1.123770;0
20170601 041800;1.123760;1.123760;1.123350;1.123450;0
20170601 041900;1.123440;1.123460;1.123360;1.123410;0
20170601 042000;1.123440;1.123460;1.123210;1.123220;0
20170601 042100;1.123200;1.123290;1.123050;1.123050;0
20170601 042200;1.123060;1.123060;1.122950;1.123010;0
20170601 042300;1.123000;1.123000;1.122950;1.123000;0
20170601 042400;1.123010;1.123190;1.123010;1.123190;0
20170601 042500;1.123190;1.123190;1.122770;1.122790;0
20170601 042600;1.122770;1.122810;1.122560;1.122620;0
20170601 042700;1.122610;1.122680;1.122610;1.122620;0
20170601 042800;1.122640;1.122790;1.122640;1.122780;0
20170601 042900;1.122780;1.122980;1.122780;1.122920;0
20170601 043000;1.122920;1.122960;1.122810;1.122870;0
20170601 043100;1.122870;1.122900;1.122770;1.122780;0
20170601 043200;1.122780;1.122870;1.122560;1.122560;0
20170601 043300;1.122560;1.122560;1.122280;1.122420;0
20170601 043400;1.122450;1.122560;1.122440;1.122470;0
20170601 043500;1.122470;1.122600;1.122470;1.122560;0
20170601 043600;1.122540;1.122570;1.122460;1.122470;0
20170601 043700;1.122480;1.122610;1.122330;1.122530;0
20170601 043800;1.122520;1.122620;1.122480;1.122480;0
20170601 043900;1.122470;1.122600;1.122420;1.122590;0
20170601 044000;1.122570;1.122670;1.122490;1.122570;0
20170601 044100;1.122550;1.122830;1.122510;1.122830;0
20170601 044200;1.122860;1.123070;1.122820;1.122990;0
20170601 044300;1.122980;1.123060;1.122940;1.122940;0
20170601 044400;1.122940;1.122940;1.122750;1.122760;0
20170601 044500;1.122740;1.122790;1.122670;1.122740;0
20170601 044600;1.122760;1.122910;1.122730;1.122900;0
20170601 044700;1.122900;1.122900;1.122750;1.122880;0
20170601 044800;1.122890;1.123020;1.122880;1.123020;0
20170601 044900;1.123090;1.123340;1.123090;1.123260;0
20170601 045000;1.123260;1.123290;1.123160;1.123240;0
20170601 045100;1.123230;1.123250;1.123170;1.123180;0
20170601 045200;1.123190;1.123190;1.123030;1.123030;0
20170601 045300;1.123060;1.123130;1.123050;1.123120;0
20170601 045400;1.123110;1.123140;1.122970;1.123030;0
20170601 045500;1.123020;1.123170;1.123020;1.123080;0
20170601 045600;1.123090;1.123300;1.123090;1.123180;0
20170601 045700;1.123160;1.123190;1.123070;1.123110;0
20170601 045800;1.123100;1.123110;1.122870;1.122910;0
20170601 045900;1.122910;1.122910;1.122550;1.122610;0
20170601 050000;1.122640;1.122870;1.122600;1.122860;0
20170601 050100;1.122880;1.122910;1.122500;1.122730;0
20170601 050200;1.122750;1.123000;1.122750;1.122980;0
20170601 050300;1.123010;1.123250;1.123010;1.123110;0
20170601 050400;1.123130;1.123140;1.122900;1.123010;0
20170601 050500;1.123020;1.123040;1.122810;1.122810;0
20170601 050600;1.122840;1.122840;1.122710;1.122810;0
20170601 050700;1.122790;1.122790;1.122660;1.122670;0
20170601 050800;1.122690;1.122720;1.122560;1.122670;0
20170601 050900;1.122670;1.122770;1.122580;1.122760;0
20170601 051000;1.122730;1.122740;1.122620;1.122710;0
20170601 051100;1.122740;1.122950;1.122720;1.122830;0
20170601 051200;1.122840;1.122960;1.122810;1.122930;0
20170601 051300;1.122910;1.123110;1.122910;1.122990;0
20170601 051400;1.123010;1.123210;1.123010;1.123090;0
20170601 051500;1.123090;1.123100;1.122760;1.122770;0
20170601 051600;1.122790;1.122930;1.122630;1.122930;0
20170601 051700;1.122910;1.122970;1.122830;1.122850;0
20170601 051800;1.122830;1.122830;1.122700;1.122750;0
20170601 051900;1.122770;1.122980;1.122770;1.122920;0
20170601 052000;1.122930;1.122970;1.122790;1.122870;0
20170601 052100;1.122870;1.122880;1.122830;1.122850;0
20170601 052200;1.122850;1.123020;1.122840;1.122940;0
20170601 052300;1.122930;1.122940;1.122560;1.122690;0
20170601 052400;1.122690;1.122720;1.122580;1.122690;0
20170601 052500;1.122700;1.122820;1.122670;1.122720;0
20170601 052600;1.122730;1.122730;1.122490;1.122520;0
20170601 052700;1.122530;1.122530;1.122400;1.122400;0
20170601 052800;1.122410;1.122680;1.122340;1.122610;0
20170601 052900;1.122600;1.122770;1.122600;1.122680;0
20170601 053000;1.122680;1.122700;1.122500;1.122520;0
20170601 053100;1.122520;1.122540;1.122420;1.122420;0
20170601 053200;1.122420;1.122450;1.122210;1.122210;0
20170601 053300;1.122230;1.122470;1.122230;1.122410;0
20170601 053400;1.122410;1.122520;1.122370;1.122460;0
20170601 053500;1.122440;1.122520;1.122360;1.122490;0
20170601 053600;1.122500;1.122580;1.122470;1.122580;0
20170601 053700;1.122560;1.122710;1.122560;1.122630;0
20170601 053800;1.122630;1.122810;1.122540;1.122770;0
20170601 053900;1.122780;1.122810;1.122680;1.122730;0
20170601 054000;1.122750;1.122960;1.122750;1.122860;0
20170601 054100;1.122850;1.123090;1.122850;1.123070;0
20170601 054200;1.123060;1.123060;1.122900;1.122970;0
20170601 054300;1.122980;1.123020;1.122960;1.122980;0
20170601 054400;1.122970;1.123020;1.122900;1.122950;0
20170601 054500;1.122940;1.122940;1.122840;1.122910;0
20170601 054600;1.122900;1.123020;1.122880;1.123000;0
20170601 054700;1.123010;1.123060;1.123000;1.123060;0
20170601 054800;1.123050;1.123160;1.123040;1.123120;0
20170601 054900;1.123110;1.123140;1.122850;1.122910;0
20170601 055000;1.122890;1.123060;1.122840;1.122970;0
20170601 055100;1.122970;1.123040;1.122770;1.123030;0
20170601 055200;1.123010;1.123130;1.123010;1.123130;0
20170601 055300;1.123120;1.123120;1.123020;1.123040;0
20170601 055400;1.123040;1.123170;1.122940;1.123070;0
20170601 055500;1.123050;1.123280;1.122960;1.123220;0
20170601 055600;1.123230;1.123250;1.123150;1.123150;0
20170601 055700;1.123160;1.123590;1.123140;1.123590;0
20170601 055800;1.123570;1.123680;1.123510;1.123530;0
20170601 055900;1.123550;1.123570;1.123430;1.123550;0
20170601 060000;1.123530;1.123530;1.123390;1.123440;0
20170601 060100;1.123450;1.123450;1.123180;1.123310;0
20170601 060200;1.123300;1.123330;1.123220;1.123300;0
20170601 060300;1.123320;1.123460;1.123170;1.123170;0
20170601 060400;1.123190;1.123220;1.123130;1.123140;0
20170601 060500;1.123130;1.123230;1.123110;1.123160;0
20170601 060600;1.123170;1.123320;1.123170;1.123240;0
20170601 060700;1.123230;1.123230;1.123160;1.123180;0
20170601 060800;1.123160;1.123230;1.123160;1.123180;0
20170601 060900;1.123200;1.123210;1.123060;1.123060;0
